trackingcode,shippingmethod,fromzip,tozip,acceptedat,deliveredat,zip_group_to,transit_time,day_of_week
390427266974,FEDEX.GROUND,75211,32789,2020-02-17T16:56:00-06:00,2020-02-20T13:14:02-05:00,327,2,Monday
390429749717,FEDEX.GROUND,75211,39204,2020-02-17T16:56:00-06:00,2020-02-19T08:54:23-06:00,392,1,Monday
390534747690,FEDEX.GROUND,75211,39402,2020-02-20T16:06:00-06:00,2020-02-24T09:18:21-06:00,394,2,Thursday
390532155299,FEDEX.GROUND,75211,70535,2020-02-20T00:00:00,2020-02-24T12:25:40-06:00,705,2,Thursday
390514415434,FEDEX.GROUND,75211,03867,2020-02-20T15:38:00-06:00,2020-02-25T09:06:27-05:00,038,3,Thursday
390455128720,FEDEX.GROUND,75211,81321,2020-02-19T00:00:00,2020-02-24T12:26:06-07:00,813,3,Wednesday
779913317940,FEDEX.GROUND,75211,75482,2020-01-27T15:47:00-06:00,2020-01-28T09:56:00-06:00,754,1,Monday
779945438692,FEDEX.GROUND,75211,79756,2020-01-28T14:20:00-06:00,2020-01-30T14:15:15-06:00,797,2,Tuesday
390118834755,FEDEX.GROUND,75211,76051,2020-02-03T16:10:00-06:00,2020-02-04T11:03:13-06:00,760,1,Monday
390420430312,FEDEX.GROUND,75211,78009,2020-02-17T15:54:00-06:00,2020-02-18T10:13:55-06:00,780,0,Monday
779947206076,FEDEX.GROUND,75211,74074,2020-01-28T16:52:00-06:00,2020-01-29T11:12:07-06:00,740,1,Tuesday
779916956313,FEDEX.GROUND,75211,88011,2020-01-27T15:47:00-06:00,2020-01-29T10:40:49-07:00,880,2,Monday
779945938251,FEDEX.GROUND,75211,66720,2020-01-28T15:52:00-06:00,2020-01-29T10:09:43-06:00,667,1,Tuesday
779916605965,FEDEX.GROUND,75211,80863,2020-01-27T15:47:00-06:00,2020-01-29T08:44:34-07:00,808,2,Monday
779917328552,FEDEX.GROUND,75211,88101,2020-01-27T15:47:00-06:00,2020-01-28T10:59:30-06:00,881,1,Monday
779903627282,FEDEX.GROUND,75211,80123,2020-01-29T00:00:00,2020-02-03T08:39:42-07:00,801,3,Wednesday
390121064682,FEDEX.GROUND,75211,77015,2020-02-03T16:10:00-06:00,2020-02-04T10:26:41-06:00,770,1,Monday
390120981904,FEDEX.GROUND,75211,70808,2020-02-03T16:10:00-06:00,2020-02-05T11:34:10-06:00,708,2,Monday
779915577163,FEDEX.GROUND,75211,28311,2020-01-27T15:47:00-06:00,2020-01-30T09:09:26-05:00,283,3,Monday
779915704196,FEDEX.GROUND,75211,81007,2020-01-27T15:47:00-06:00,2020-01-29T09:40:49-07:00,810,2,Monday
390125015900,FEDEX.GROUND,75211,78726,2020-02-03T18:26:00-06:00,2020-02-04T15:18:14-06:00,787,1,Monday
390417840888,FEDEX.GROUND,75211,76903,2020-02-17T15:54:00-06:00,2020-02-18T09:40:36-06:00,769,0,Monday
390099979412,FEDEX.GROUND,75211,85226,2020-02-03T17:12:00-06:00,2020-02-06T13:05:37-07:00,852,3,Monday
390125001628,FEDEX.GROUND,75211,75845,2020-02-03T18:26:00-06:00,2020-02-04T10:37:58-06:00,758,1,Monday
390121919320,FEDEX.GROUND,75211,70068,2020-02-03T16:10:00-06:00,2020-02-05T10:14:02-06:00,700,2,Monday
390429748353,FEDEX.GROUND,75211,39211,2020-02-17T16:56:00-06:00,2020-02-19T14:56:18-06:00,392,1,Monday
390504220687,FEDEX.GROUND,75211,78735,2020-02-19T16:47:00-06:00,2020-02-20T10:27:40-06:00,787,1,Wednesday
390532155071,FEDEX.GROUND,75211,49412,2020-02-20T00:00:00,2020-02-25T10:59:56-05:00,494,3,Thursday
779928271579,FEDEX.GROUND,75211,75019,2020-01-29T00:00:00,2020-01-30T10:48:53-06:00,750,1,Wednesday
779895789720,FEDEX.GROUND,75211,73072,2020-01-27T00:00:00,2020-01-28T15:27:51-06:00,730,1,Monday
779903964848,FEDEX.GROUND,75211,76114,2020-01-28T00:00:00,2020-01-30T08:43:12-06:00,761,2,Tuesday
779915522719,FEDEX.GROUND,75211,78504,2020-01-27T15:47:00-06:00,2020-01-29T10:01:43-06:00,785,2,Monday
390118783176,FEDEX.GROUND,75211,76205,2020-02-03T16:10:00-06:00,2020-02-04T10:00:06-06:00,762,1,Monday
390119698698,FEDEX.GROUND,75211,75904,2020-02-03T16:10:00-06:00,2020-02-04T10:11:59-06:00,759,1,Monday
779946316202,FEDEX.GROUND,75211,67205,2020-01-29T00:00:00,2020-01-30T10:03:40-06:00,672,1,Wednesday
390496230506,FEDEX.GROUND,75211,77449,2020-02-19T16:29:00-06:00,2020-02-20T11:49:10-06:00,774,1,Wednesday
779909667354,FEDEX.GROUND,75211,30067,2020-01-27T14:59:00-06:00,2020-01-30T12:37:52-05:00,300,3,Monday
779928270995,FEDEX.GROUND,75211,33411,2020-01-29T00:00:00,2020-02-03T10:13:01-05:00,334,3,Wednesday
779928271649,FEDEX.GROUND,75211,75701,2020-01-29T00:00:00,2020-01-31T12:50:18-06:00,757,2,Wednesday
779903963120,FEDEX.GROUND,75211,76114,2020-01-28T00:00:00,2020-01-30T08:43:12-06:00,761,2,Tuesday
779917554750,FEDEX.GROUND,75211,75474,2020-01-27T15:47:00-06:00,2020-01-28T12:14:16-06:00,754,1,Monday
390118622995,FEDEX.GROUND,75211,78624,2020-02-03T16:10:00-06:00,2020-02-04T12:31:32-06:00,786,1,Monday
390118060419,FEDEX.GROUND,75211,39204,2020-02-03T17:12:00-06:00,2020-02-05T10:23:41-06:00,392,2,Monday
390429735607,FEDEX.GROUND,75211,39204,2020-02-17T16:56:00-06:00,2020-02-19T08:54:23-06:00,392,1,Monday
390103821580,FEDEX.GROUND,75211,77587,2020-02-03T00:00:00,2020-02-04T12:24:01-06:00,775,1,Monday
390121547797,FEDEX.GROUND,75211,39157,2020-02-03T17:12:00-06:00,2020-02-05T11:57:42-06:00,391,2,Monday
390128286779,FEDEX.GROUND,75211,71446,2020-02-04T16:27:00-06:00,2020-02-05T12:36:08-06:00,714,1,Tuesday
390117423670,FEDEX.GROUND,75211,74883,2020-02-03T16:10:00-06:00,2020-02-04T13:16:51-06:00,748,1,Monday
390099980427,FEDEX.GROUND,75211,72032,2020-02-03T17:12:00-06:00,2020-02-04T10:52:38-06:00,720,1,Monday
779934060917,FEDEX.GROUND,75211,28655,2020-01-28T00:00:00,2020-02-01T14:59:51-05:00,286,3,Tuesday
779923315617,FEDEX.GROUND,75211,34202,2020-01-27T17:31:00-06:00,2020-01-30T10:25:08-05:00,342,3,Monday
779924854187,FEDEX.GROUND,75211,85326,2020-01-28T16:03:00-06:00,2020-01-30T08:45:37-07:00,853,2,Tuesday
390450279137,FEDEX.GROUND,75211,88005,2020-02-18T16:11:00-06:00,2020-02-20T10:09:02-07:00,880,2,Tuesday
390124473610,FEDEX.GROUND,75211,34974,2020-02-04T16:27:00-06:00,2020-02-07T12:40:04-05:00,349,3,Tuesday
779946078371,FEDEX.GROUND,75211,87120,2020-01-28T15:52:00-06:00,2020-01-31T10:22:19-07:00,871,3,Tuesday
779928271811,FEDEX.GROUND,75211,77304,2020-01-29T00:00:00,2020-01-31T11:24:50-06:00,773,2,Wednesday
390118056975,FEDEX.GROUND,75211,39157,2020-02-03T17:12:00-06:00,2020-02-05T11:57:42-06:00,391,2,Monday
390117656986,FEDEX.GROUND,75211,76710,2020-02-03T16:10:00-06:00,2020-02-04T09:37:34-06:00,767,1,Monday
390106990684,FEDEX.GROUND,75211,39202,2020-02-03T17:12:00-06:00,2020-02-05T10:00:46-06:00,392,2,Monday
390470887913,FEDEX.GROUND,75211,71467,2020-02-18T16:16:00-06:00,2020-02-19T12:44:29-06:00,714,1,Tuesday
390494889589,FEDEX.GROUND,75211,77449,2020-02-19T16:29:00-06:00,2020-02-20T11:49:10-06:00,774,1,Wednesday
390532157328,FEDEX.GROUND,75211,48220,2020-02-20T00:00:00,2020-02-25T10:15:17-05:00,482,3,Thursday
390470684941,FEDEX.GROUND,75211,35801,2020-02-18T16:16:00-06:00,2020-02-20T10:43:39-06:00,358,2,Tuesday
779913715065,FEDEX.GROUND,75211,70471,2020-01-27T17:31:00-06:00,2020-01-29T13:19:13-06:00,704,2,Monday
779938251464,FEDEX.GROUND,75211,77055,2020-01-28T15:52:00-06:00,2020-01-29T11:48:26-06:00,770,1,Tuesday
779925111847,FEDEX.GROUND,75211,34103,2020-01-28T16:03:00-06:00,2020-01-31T13:53:02-05:00,341,3,Tuesday
779947123216,FEDEX.GROUND,75211,64093,2020-01-28T15:52:00-06:00,2020-01-30T09:34:15-06:00,640,2,Tuesday
390116183578,FEDEX.GROUND,75211,92008,2020-02-03T17:12:00-06:00,2020-02-06T11:33:35-08:00,920,3,Monday
390117728577,FEDEX.GROUND,75211,71303,2020-02-03T16:10:00-06:00,2020-02-04T09:22:50-06:00,713,1,Monday
390416722504,FEDEX.GROUND,75211,15137,2020-02-17T15:54:00-06:00,2020-02-20T10:14:46-05:00,151,2,Monday
390455128878,FEDEX.GROUND,75211,49417,2020-02-19T00:00:00,2020-02-24T10:08:56-05:00,494,3,Wednesday
390532155910,FEDEX.GROUND,75211,48220,2020-02-20T00:00:00,2020-02-25T10:15:17-05:00,482,3,Thursday
780265668080,FEDEX.GROUND,75211,64850,2019-10-16T19:05:00-05:00,2019-10-21T09:14:04-05:00,648,3,Wednesday
779946313707,FEDEX.GROUND,75211,67205,2020-01-29T00:00:00,2020-01-30T10:03:40-06:00,672,1,Wednesday
779949954654,FEDEX.GROUND,75211,30009,2020-01-28T14:20:00-06:00,2020-01-31T10:51:55-05:00,300,3,Tuesday
390129369477,FEDEX.GROUND,75211,77598,2020-02-05T00:00:00,2020-02-06T10:13:15-06:00,775,1,Wednesday
390106156128,FEDEX.GROUND,75211,73134,2020-02-05T00:00:00,2020-02-07T10:53:52-06:00,731,2,Wednesday
390099978276,FEDEX.GROUND,75211,91355,2020-02-03T17:12:00-06:00,2020-02-06T11:46:50-08:00,913,3,Monday
779903626850,FEDEX.GROUND,75211,87124,2020-01-29T00:00:00,2020-02-03T09:23:54-07:00,871,3,Wednesday
390105948320,FEDEX.GROUND,75211,85395,2020-02-04T00:00:00,2020-02-06T09:16:30-07:00,853,2,Tuesday
390120033838,FEDEX.GROUND,75211,78582,2020-02-03T16:10:00-06:00,2020-02-05T09:37:20-06:00,785,2,Monday
779902507432,FEDEX.GROUND,75211,81052,2020-01-27T00:00:00,2020-01-29T10:55:36-07:00,810,2,Monday
779915727598,FEDEX.GROUND,75211,75006,2020-01-27T15:47:00-06:00,2020-01-29T11:26:59-06:00,750,2,Monday
779928271763,FEDEX.GROUND,75211,76177,2020-01-29T00:00:00,2020-01-31T09:06:02-06:00,761,2,Wednesday
390117661426,FEDEX.GROUND,75211,76710,2020-02-03T16:10:00-06:00,2020-02-04T09:37:34-06:00,767,1,Monday
390117627008,FEDEX.GROUND,75211,75165,2020-02-03T16:10:00-06:00,2020-02-04T09:48:06-06:00,751,1,Monday
390429831604,FEDEX.GROUND,75211,79761,2020-02-17T00:00:00,2020-02-18T12:34:19-06:00,797,0,Monday
390105284786,FEDEX.GROUND,75211,72210,2020-02-03T17:12:00-06:00,2020-02-04T09:26:06-06:00,722,1,Monday
779920518050,FEDEX.GROUND,75211,85023,2020-01-27T16:50:00-06:00,2020-01-30T10:33:34-07:00,850,3,Monday
390511002169,FEDEX.GROUND,75211,37020,2020-02-19T00:00:00,2020-02-21T10:07:30-06:00,370,2,Wednesday
390421621607,FEDEX.GROUND,75211,76179,2020-02-17T15:54:00-06:00,2020-02-18T12:08:13-06:00,761,0,Monday
390504275098,FEDEX.GROUND,75211,07836,2020-02-19T16:47:00-06:00,2020-02-24T10:22:07-05:00,078,3,Wednesday
779916576461,FEDEX.GROUND,75211,61108,2020-01-27T15:47:00-06:00,2020-01-29T08:33:11-06:00,611,2,Monday
779946121754,FEDEX.GROUND,75211,87031,2020-01-28T00:00:00,2020-01-31T09:33:45-07:00,870,3,Tuesday
779940173282,FEDEX.GROUND,75211,90034,2020-01-28T16:03:00-06:00,2020-02-03T10:42:02-08:00,900,4,Tuesday
390120907342,FEDEX.GROUND,75211,72223,2020-02-03T16:10:00-06:00,2020-02-04T10:23:26-06:00,722,1,Monday
390119040354,FEDEX.GROUND,75211,74429,2020-02-03T16:10:00-06:00,2020-02-04T09:23:21-06:00,744,1,Monday
779946111617,FEDEX.GROUND,75211,78102,2020-01-28T15:52:00-06:00,2020-01-30T10:56:08-06:00,781,2,Tuesday
390120565322,FEDEX.GROUND,75211,75501,2020-02-03T16:10:00-06:00,2020-02-04T10:10:55-06:00,755,1,Monday
779926004091,FEDEX.GROUND,75211,89815,2020-01-28T16:03:00-06:00,2020-01-31T09:49:13-08:00,898,3,Tuesday
779903628348,FEDEX.GROUND,75211,80126,2020-01-29T00:00:00,2020-02-03T10:27:23-07:00,801,3,Wednesday
390116180112,FEDEX.GROUND,75211,79925,2020-02-03T17:12:00-06:00,2020-02-05T10:59:00-07:00,799,2,Monday
390430572470,FEDEX.GROUND,75211,78735,2020-02-17T15:50:00-06:00,2020-02-18T10:22:11-06:00,787,0,Monday
390121001666,FEDEX.GROUND,75211,77657,2020-02-03T16:10:00-06:00,2020-02-04T09:58:18-06:00,776,1,Monday
390535562100,FEDEX.GROUND,75211,72404,2020-02-20T17:16:00-06:00,2020-02-24T10:55:31-06:00,724,2,Thursday
390455128580,FEDEX.GROUND,75211,78412,2020-02-19T00:00:00,2020-02-21T10:08:16-06:00,784,2,Wednesday
779947201133,FEDEX.GROUND,75211,98005,2020-01-28T16:52:00-06:00,2020-02-03T08:39:39-08:00,980,4,Tuesday
779895103647,FEDEX.GROUND,75211,79529,2020-01-27T16:26:00-06:00,2020-01-28T11:10:27-06:00,795,1,Monday
390117592330,FEDEX.GROUND,75211,76063,2020-02-03T16:10:00-06:00,2020-02-04T10:59:23-06:00,760,1,Monday
390124110386,FEDEX.GROUND,75211,85260,2020-02-03T18:26:00-06:00,2020-02-06T09:00:43-07:00,852,3,Monday
390120658860,FEDEX.GROUND,75211,78539,2020-02-03T16:10:00-06:00,2020-02-06T10:21:50-06:00,785,3,Monday
390429070724,FEDEX.GROUND,75211,29607,2020-02-17T00:00:00,2020-02-20T13:34:59-05:00,296,2,Monday
390099979191,FEDEX.GROUND,75211,72210,2020-02-03T17:12:00-06:00,2020-02-04T09:35:46-06:00,722,1,Monday
779946704758,FEDEX.GROUND,75211,75104,2020-01-28T15:52:00-06:00,2020-01-29T11:04:02-06:00,751,1,Tuesday
390107002350,FEDEX.GROUND,75211,39202,2020-02-03T17:12:00-06:00,2020-02-05T10:00:46-06:00,392,2,Monday
390441856517,FEDEX.GROUND,75211,75063,2020-02-17T15:50:00-06:00,2020-02-18T11:10:23-06:00,750,0,Monday
390425738574,FEDEX.GROUND,75211,73572,2020-02-17T15:54:00-06:00,2020-02-18T15:02:54-06:00,735,0,Monday
390555250095,FEDEX.GROUND,75211,71105,2020-02-21T16:03:00-06:00,2020-02-24T09:58:08-06:00,711,1,Friday
390455128363,FEDEX.GROUND,75211,67209,2020-02-19T00:00:00,2020-02-20T14:00:23-06:00,672,1,Wednesday
779947231445,FEDEX.GROUND,75211,70663,2020-01-28T15:52:00-06:00,2020-01-30T11:31:57-06:00,706,2,Tuesday
779928320386,FEDEX.GROUND,75211,75701,2020-01-29T00:00:00,2020-01-30T10:42:50-06:00,757,1,Wednesday
779946315088,FEDEX.GROUND,75211,67205,2020-01-29T00:00:00,2020-01-30T10:03:40-06:00,672,1,Wednesday
779919497823,FEDEX.GROUND,75211,23111,2020-01-28T16:03:00-06:00,2020-01-31T10:36:18-05:00,231,3,Tuesday
390427763660,FEDEX.GROUND,75211,79925,2020-02-17T16:56:00-06:00,2020-02-19T11:22:11-07:00,799,1,Monday
390534519824,FEDEX.GROUND,75211,39042,2020-02-20T17:16:00-06:00,2020-02-24T10:14:58-06:00,390,2,Thursday
390446327541,FEDEX.GROUND,75211,76063,2020-02-17T15:50:00-06:00,2020-02-18T11:01:13-06:00,760,0,Monday
390427267960,FEDEX.GROUND,75211,88101,2020-02-17T16:56:00-06:00,2020-02-18T10:21:58-06:00,881,0,Monday
779946962804,FEDEX.GROUND,75211,71049,2020-01-28T15:52:00-06:00,2020-01-29T12:11:05-06:00,710,1,Tuesday
779913395245,FEDEX.GROUND,75211,72712,2020-01-27T15:47:00-06:00,2020-01-29T11:47:46-06:00,727,2,Monday
779895789178,FEDEX.GROUND,75211,95843,2020-01-27T00:00:00,2020-01-30T09:01:29-08:00,958,3,Monday
779917403985,FEDEX.GROUND,75211,76021,2020-01-27T15:47:00-06:00,2020-01-28T10:57:15-06:00,760,1,Monday
390098628601,FEDEX.GROUND,75211,38116,2020-02-03T16:10:00-06:00,2020-02-05T08:56:41-06:00,381,2,Monday
390119002294,FEDEX.GROUND,75211,67357,2020-02-03T16:10:00-06:00,2020-02-04T09:50:27-06:00,673,1,Monday
390455128856,FEDEX.GROUND,75211,49417,2020-02-19T00:00:00,2020-02-24T10:08:56-05:00,494,3,Wednesday
779938231521,FEDEX.GROUND,75211,77055,2020-01-28T15:52:00-06:00,2020-01-29T11:48:26-06:00,770,1,Tuesday
779897613368,FEDEX.GROUND,75211,78504,2020-01-27T16:26:00-06:00,2020-01-29T10:01:43-06:00,785,2,Monday
779923988940,FEDEX.GROUND,75211,89113,2020-01-28T16:03:00-06:00,2020-01-31T11:13:10-08:00,891,3,Tuesday
779923836365,FEDEX.GROUND,75211,91710,2020-01-28T16:03:00-06:00,2020-01-31T10:22:51-08:00,917,3,Tuesday
390114815456,FEDEX.GROUND,75211,31405,2020-02-03T18:26:00-06:00,2020-02-06T13:29:35-05:00,314,3,Monday
779913717105,FEDEX.GROUND,75211,70471,2020-01-27T17:31:00-06:00,2020-01-29T13:19:13-06:00,704,2,Monday
779895789763,FEDEX.GROUND,75211,95843,2020-01-27T00:00:00,2020-01-30T09:01:29-08:00,958,3,Monday
779946321201,FEDEX.GROUND,75211,67205,2020-01-29T00:00:00,2020-01-30T10:03:40-06:00,672,1,Wednesday
779902517238,FEDEX.GROUND,75211,81052,2020-01-27T00:00:00,2020-01-29T10:55:36-07:00,810,2,Monday
779903762493,FEDEX.GROUND,75211,73069,2020-01-28T00:00:00,2020-01-30T16:46:07-06:00,730,2,Tuesday
779915838072,FEDEX.GROUND,75211,72113,2020-01-27T15:47:00-06:00,2020-01-28T10:09:48-06:00,721,1,Monday
779947205919,FEDEX.GROUND,75211,74074,2020-01-28T16:52:00-06:00,2020-01-29T11:12:07-06:00,740,1,Tuesday
779894728857,FEDEX.GROUND,75211,41701,2020-01-27T16:26:00-06:00,2020-01-30T09:27:12-05:00,417,3,Monday
779919864590,FEDEX.GROUND,75211,33584,2020-01-27T17:31:00-06:00,2020-01-30T12:12:07-05:00,335,3,Monday
779916740157,FEDEX.GROUND,75211,78735,2020-01-27T15:47:00-06:00,2020-01-29T09:31:18-06:00,787,2,Monday
779915832270,FEDEX.GROUND,75211,72113,2020-01-27T15:47:00-06:00,2020-01-28T10:09:48-06:00,721,1,Monday
390118054159,FEDEX.GROUND,75211,39204,2020-02-03T17:12:00-06:00,2020-02-05T10:23:41-06:00,392,2,Monday
779945898140,FEDEX.GROUND,75211,80134,2020-01-28T15:52:00-06:00,2020-01-30T08:32:38-07:00,801,2,Tuesday
779903629220,FEDEX.GROUND,75211,76028,2020-01-29T00:00:00,2020-01-30T11:54:14-06:00,760,1,Wednesday
390467205461,FEDEX.GROUND,75211,80108,2020-02-19T00:00:00,2020-02-24T15:28:17-07:00,801,3,Wednesday
779923989979,FEDEX.GROUND,75211,89113,2020-01-28T16:03:00-06:00,2020-01-31T11:13:10-08:00,891,3,Tuesday
779905402768,FEDEX.GROUND,75211,74116,2020-01-27T00:00:00,2020-01-28T16:33:35-06:00,741,1,Monday
390106990088,FEDEX.GROUND,75211,39202,2020-02-03T17:12:00-06:00,2020-02-05T10:00:46-06:00,392,2,Monday
390427264846,FEDEX.GROUND,75211,72117,2020-02-17T16:56:00-06:00,2020-02-18T14:05:34-06:00,721,0,Monday
390129251303,FEDEX.GROUND,75211,76063,2020-02-04T16:27:00-06:00,2020-02-06T10:40:30-06:00,760,2,Tuesday
390107001423,FEDEX.GROUND,75211,39204,2020-02-03T17:12:00-06:00,2020-02-05T10:23:41-06:00,392,2,Monday
390121935577,FEDEX.GROUND,75211,67205,2020-02-03T16:10:00-06:00,2020-02-04T10:07:41-06:00,672,1,Monday
390419330084,FEDEX.GROUND,75211,73107,2020-02-17T00:00:00,2020-02-18T10:03:58-06:00,731,0,Monday
390563030924,FEDEX.GROUND,75211,78563,2020-02-21T00:00:00,2020-02-25T12:11:47-06:00,785,2,Friday
390106155555,FEDEX.GROUND,75211,67226,2020-02-05T00:00:00,2020-02-07T10:59:14-06:00,672,2,Wednesday
390118386726,FEDEX.GROUND,75211,39211,2020-02-03T17:12:00-06:00,2020-02-05T15:28:13-06:00,392,2,Monday
390106999681,FEDEX.GROUND,75211,39211,2020-02-03T17:12:00-06:00,2020-02-05T15:50:37-06:00,392,2,Monday
779902505430,FEDEX.GROUND,75211,81050,2020-01-27T00:00:00,2020-01-29T09:55:14-07:00,810,2,Monday
779915510884,FEDEX.GROUND,75211,78504,2020-01-27T15:47:00-06:00,2020-01-29T10:01:43-06:00,785,2,Monday
779915484530,FEDEX.GROUND,75211,70454,2020-01-27T15:47:00-06:00,2020-01-29T11:25:12-06:00,704,2,Monday
779897487938,FEDEX.GROUND,75211,94596,2020-01-27T16:50:00-06:00,2020-01-30T12:12:40-08:00,945,3,Monday
390105281592,FEDEX.GROUND,75211,94596,2020-02-03T17:12:00-06:00,2020-02-06T12:27:55-08:00,945,3,Monday
779947309480,FEDEX.GROUND,75211,75773,2020-01-28T15:52:00-06:00,2020-01-29T10:27:43-06:00,757,1,Tuesday
390120618959,FEDEX.GROUND,75211,73533,2020-02-03T16:10:00-06:00,2020-02-04T11:51:42-06:00,735,1,Monday
390118629305,FEDEX.GROUND,75211,78654,2020-02-03T16:10:00-06:00,2020-02-04T11:30:51-06:00,786,1,Monday
390120278427,FEDEX.GROUND,75211,78539,2020-02-03T16:10:00-06:00,2020-02-05T09:27:13-06:00,785,2,Monday
779943339178,FEDEX.GROUND,75211,76401,2020-01-28T16:03:00-06:00,2020-01-29T11:09:34-06:00,764,1,Tuesday
779923837270,FEDEX.GROUND,75211,91710,2020-01-28T16:03:00-06:00,2020-01-31T10:22:51-08:00,917,3,Tuesday
779918030274,FEDEX.GROUND,75211,81620,2020-01-27T15:47:00-06:00,2020-01-30T09:26:13-07:00,816,3,Monday
780691948062,FEDEX.GROUND,75211,30518,2019-11-04T00:00:00,2019-11-06T11:31:25-05:00,305,2,Monday
779916961080,FEDEX.GROUND,75211,70791,2020-01-27T15:47:00-06:00,2020-01-29T09:23:34-06:00,707,2,Monday
779895789888,FEDEX.GROUND,75211,95843,2020-01-27T00:00:00,2020-01-30T09:01:29-08:00,958,3,Monday
390114812652,FEDEX.GROUND,75211,31405,2020-02-03T18:26:00-06:00,2020-02-05T13:03:07-05:00,314,2,Monday
390116179120,FEDEX.GROUND,75211,92064,2020-02-03T17:12:00-06:00,2020-02-06T12:51:23-08:00,920,3,Monday
390117634032,FEDEX.GROUND,75211,75165,2020-02-03T16:10:00-06:00,2020-02-04T09:48:06-06:00,751,1,Monday
779915887037,FEDEX.GROUND,75211,72143,2020-01-27T15:47:00-06:00,2020-01-28T11:15:20-06:00,721,1,Monday
779946309900,FEDEX.GROUND,75211,67205,2020-01-29T00:00:00,2020-01-30T10:03:40-06:00,672,1,Wednesday
390425081830,FEDEX.GROUND,75211,30157,2020-02-17T15:54:00-06:00,2020-02-19T11:02:04-05:00,301,1,Monday
390120451610,FEDEX.GROUND,75211,77478,2020-02-03T16:10:00-06:00,2020-02-04T11:27:16-06:00,774,1,Monday
779928746413,FEDEX.GROUND,75211,72023,2020-01-29T16:06:00-06:00,2020-01-30T10:32:04-06:00,720,1,Wednesday
779903628289,FEDEX.GROUND,75211,76086,2020-01-29T00:00:00,2020-01-30T08:46:47-06:00,760,1,Wednesday
779915588300,FEDEX.GROUND,75211,28311,2020-01-27T15:47:00-06:00,2020-01-30T09:09:26-05:00,283,3,Monday
390117708060,FEDEX.GROUND,75211,78660,2020-02-03T16:10:00-06:00,2020-02-04T10:26:29-06:00,786,1,Monday
390118976206,FEDEX.GROUND,75211,68123,2020-02-03T16:10:00-06:00,2020-02-05T08:59:08-06:00,681,2,Monday
390099979802,FEDEX.GROUND,75211,72032,2020-02-03T17:12:00-06:00,2020-02-04T10:52:38-06:00,720,1,Monday
779905400180,FEDEX.GROUND,75211,74116,2020-01-27T00:00:00,2020-01-28T16:33:35-06:00,741,1,Monday
779903629414,FEDEX.GROUND,75211,80123,2020-01-29T00:00:00,2020-02-03T08:39:42-07:00,801,3,Wednesday
779913069000,FEDEX.GROUND,75211,76051,2020-01-27T15:47:00-06:00,2020-01-28T10:14:38-06:00,760,1,Monday
779909269323,FEDEX.GROUND,75211,87829,2020-01-27T14:59:00-06:00,2020-01-30T11:04:54-07:00,878,3,Monday
390106155842,FEDEX.GROUND,75211,67226,2020-02-05T00:00:00,2020-02-07T10:59:14-06:00,672,2,Wednesday
